"Type","Sensor","Class","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021","2022","2022","2022","2022"
"Type","Sensor","Class","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSLR","Full-frame","Flagship","","","","","","","","","","","","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","","","","","1D C","1D C","1D C","1D C","1D C","1D C","1D C","1D C","1D C","1D C","1D C","1D C","1D C","1D C","1D C","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSLR","Full-frame","Flagship","","","","","","","","","","","","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk II","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1Ds Mk III","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk II T","1D X Mk III T","1D X Mk III T","1D X Mk III T","1D X Mk III T","1D X Mk III T","1D X Mk III T","1D X Mk III T","1D X Mk III T","1D X Mk III T","1D X Mk III T","1D X Mk III T","1D X Mk III T"
"DSLR","APS-H","Professional","","","","","","","","1D","1D","1D","1D","1D","1D","1D","1D","1D","1D","1D Mk II","1D Mk II","1D Mk II","1D Mk II","1D Mk II","1D Mk II N","1D Mk II N","1D Mk II N","1D Mk II N","1D Mk II N","1D Mk II N","1D Mk II N","1D Mk III","1D Mk III","1D Mk III","1D Mk III","1D Mk III","1D Mk III","1D Mk III","1D Mk III","1D Mk III","1D Mk III","1D Mk IV","1D Mk IV","1D Mk IV","1D Mk IV","1D Mk IV","1D Mk IV","1D Mk IV","1D Mk IV","1D Mk IV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSLR","Full-frame","Professional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","5DS / 5DS R","","","",""
"DSLR","Full-frame","Professional","","","","","","","","","","","","","","","","","","","","","","","","5D","5D","5D","5D","5D","5D","5D","5D","5D","5D","5D","5D","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk II","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","x 5D Mk III","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T","5D Mk IV T"
"DSLR","Full-frame","Advanced, prosumer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","x 6D","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT","6D Mk II AT"
"DSLR","APS-C","Advanced, prosumer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","x 7D","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","7D Mk II","","","",""
"DSLR","APS-C","Enthusiast, hobbyist","","","","","","","","","","","","","","","","","","","","","20Da","20Da","20Da","20Da","20Da","","","","","","","","","","","","","","","","","","","","","","","","","60Da A","60Da A","60Da A","60Da A","60Da A","60Da A","60Da A","60Da A","60Da A","60Da A","60Da A","60Da A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
