Family;Level;Format;2010;2010;2010;2010;2011;2011;2011;2011;2012;2012;2012;2012;2013;2013;2013;2013;2014;2014;2014;2014;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022
Family;Level;Format;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CineAlta;Cinema Line;FF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE;VENICE 2;VENICE 2;VENICE 2;VENICE 2;VENICE 2
XDCAM;Cinema Line;FF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m FX9;m FX9;m FX9;m FX9;m FX9;m FX9;m FX9;m FX9;m FX9;m FX9;m FX9;m FX9;m FX9;m FX9
XDCAM;Documentary;S35;;;;;;;;;;;;;;;;;;;;m FS7;m FS7;m FS7;m FS7;m FS7;m FS7;m FS7;m FS7;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II;m FS7 II
XDCAM;Mobility;S35;;;;;;;;;;;;;;;;;;;;;;;m FS5;m FS5;m FS5;m FS5;m FS5;m FS5;m FS5;m FS5;m FS5;m FS5;m FS5;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II;m FS5 II
NXCAM;Professional;S35;;;;;;;NEX-FS100;NEX-FS100;NEX-FS100;NEX-FS700;NEX-FS700;NEX-FS700;NEX-FS700;NEX-FS700;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;NEX-FS700R;;;;;;;;;;;;;;;;;;
NXCAM;Entry-level;APS-C;;;;;;;;;;;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;NEX-EA50;;;;;;;;;;;;;;;;;;;;;;;;;;
Handycam;High-End;FF;;;;;;;;;;;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;m NEX-VG900;;;;;;;;;;;;;;;;;;;;;;
Handycam;Advanced;APS-C;;;s NEX-VG10;s NEX-VG10;s NEX-VG10;s NEX-VG10;s NEX-VG10;s NEX-VG20;s NEX-VG20;s NEX-VG20;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;m NEX-VG30;;;;;;;;;;;;;;;;;;;;;;;;;
